Section,Topic,Point,Details / Notes
1. Project Overview,Client,Capital Securities (Hong Kong) Limited,群益證券(香港)有限公司 — SFC Licensed Financial Services
1. Project Overview,Website URL,https://www.e-capital.com.hk,Corporate website for securities and futures trading services
1. Project Overview,Languages Supported,Traditional Chinese / Simplified Chinese / English,Full trilingual support with language switcher
1. Project Overview,Purpose,Public-facing corporate website + internal CMS,Single codebase serves both the website and content management

2. Website Features,Navigation,Multi-level dropdown navigation menu,3-language nav with Products / About / Explore / Contact sections
2. Website Features,Hero Banner,Animated hero section with call-to-action buttons,Customisable headline + subtitle + CTA links via CMS
2. Website Features,Marquee Ticker,Scrolling announcement bar at top of page,Text managed via CMS — ideal for promotions / urgent notices
2. Website Features,Image Carousel,Auto-play swiper carousel (Swiper.js),Banner images & captions fully managed in CMS
2. Website Features,Services Sections,Product service cards with icons and descriptions,Securities / Futures / Options / Shanghai-HK Connect / Funds
2. Website Features,CTA Section,Call-to-action banner with two buttons,Open Account & Trade Now links — editable in CMS
2. Website Features,Footer,Full footer with links / contact / disclaimer,Company group info and legal notices
2. Website Features,Sub-pages (Content Pages),30+ static content pages rendered dynamically,FAQ / Forms / Fee Schedule / Account Opening / Privacy Policy
2. Website Features,SEO & Social Meta,Open Graph + Twitter Card + JSON-LD structured data,Schema.org FinancialService markup — good for Google ranking
2. Website Features,Robots & Sitemap,robots.txt + sitemap.xml included,Helps search engine indexing out of the box
2. Website Features,Responsive Design,Mobile-first responsive layout,Works on desktop / tablet / mobile — CSS media queries
2. Website Features,Animations,Scroll-triggered entrance animations,Smooth fade-in/slide effects using Intersection Observer
2. Website Features,SFC Compliance Badge,SFC licensed badge displayed in hero section,Builds trust and meets regulatory display requirements

3. CMS Features,Access,Password-protected admin panel,Accessible at /#cms — no separate URL needed
3. CMS Features,Authentication,SHA-256 hashed password + rate limiting + account lockout,Brute-force protection — locks after 5 failed attempts (15 min)
3. CMS Features,Two-Factor Authentication (2FA),TOTP-based 2FA (compatible with Google Authenticator),Admin can enforce 2FA for all users — QR code setup included
3. CMS Features,User Management,Role-based access: Admin / Editor / Viewer,Admin: full access | Editor: edit content | Viewer: read-only
3. CMS Features,Multiple User Accounts,Add / edit / disable / delete user accounts,Each user has own password and role — admin can manage all
3. CMS Features,Session Management,Auto session timeout (configurable minutes),Active session list — admin can terminate any session remotely
3. CMS Features,Audit Log,Full audit trail of all CMS actions,Records who did what and when — last 100 entries kept
3. CMS Features,Hero Banner Editor,Edit headline / subtitle / badge / CTA buttons per language,Supports all 3 languages independently
